Dato,Elpris,Transport og afgifter,Total
2023-05-21 23:00:00,0.77,0.43,1.20
2023-05-21 22:00:00,0.87,0.43,1.30
2023-05-21 21:00:00,0.88,0.43,1.31
2023-05-21 20:00:00,0.90,0.89,1.79
2023-05-21 19:00:00,0.85,0.89,1.74
2023-05-21 18:00:00,0.43,0.89,1.32
2023-05-21 17:00:00,0.07,0.89,0.96
2023-05-21 16:00:00,0.05,0.43,0.48
2023-05-21 15:00:00,0.02,0.43,0.45
2023-05-21 14:00:00,0.01,0.43,0.44
2023-05-21 13:00:00,0.00,0.43,0.43
2023-05-21 12:00:00,0.01,0.43,0.44
2023-05-21 11:00:00,0.05,0.43,0.48
2023-05-21 10:00:00,0.05,0.43,0.48
2023-05-21 09:00:00,0.07,0.43,0.50
2023-05-21 08:00:00,0.24,0.43,0.67
2023-05-21 07:00:00,0.31,0.43,0.74
2023-05-21 06:00:00,0.34,0.43,0.77
2023-05-21 05:00:00,0.31,0.34,0.65
2023-05-21 04:00:00,0.32,0.34,0.66
2023-05-21 03:00:00,0.31,0.34,0.65
2023-05-21 02:00:00,0.36,0.34,0.70
2023-05-21 01:00:00,0.41,0.34,0.75
2023-05-21 00:00:00,0.52,0.34,0.86
2023-05-20 23:00:00,0.71,0.43,1.14
2023-05-20 22:00:00,0.76,0.43,1.19
2023-05-20 21:00:00,0.79,0.43,1.22
2023-05-20 20:00:00,0.85,0.89,1.74
2023-05-20 19:00:00,0.76,0.89,1.65
2023-05-20 18:00:00,0.55,0.89,1.44
2023-05-20 17:00:00,0.29,0.89,1.18
2023-05-20 16:00:00,0.06,0.43,0.49
2023-05-20 15:00:00,0.05,0.43,0.48
2023-05-20 14:00:00,0.05,0.43,0.48
2023-05-20 13:00:00,0.04,0.43,0.47
2023-05-20 12:00:00,0.05,0.43,0.48
2023-05-20 11:00:00,0.05,0.43,0.48
2023-05-20 10:00:00,0.09,0.43,0.52
2023-05-20 09:00:00,0.42,0.43,0.85
2023-05-20 08:00:00,0.61,0.43,1.04
2023-05-20 07:00:00,0.63,0.43,1.06
2023-05-20 06:00:00,0.63,0.43,1.06
2023-05-20 05:00:00,0.66,0.34,1.00
2023-05-20 04:00:00,0.65,0.34,0.99
2023-05-20 03:00:00,0.66,0.34,1.00
2023-05-20 02:00:00,0.68,0.34,1.02
2023-05-20 01:00:00,0.74,0.34,1.08
2023-05-20 00:00:00,0.78,0.34,1.12
2023-05-19 23:00:00,0.85,0.43,1.28
2023-05-19 22:00:00,0.98,0.43,1.41
2023-05-19 21:00:00,1.03,0.43,1.46
2023-05-19 20:00:00,1.13,0.89,2.02
2023-05-19 19:00:00,1.13,0.89,2.02
2023-05-19 18:00:00,1.02,0.89,1.91
2023-05-19 17:00:00,0.86,0.89,1.75
2023-05-19 16:00:00,0.72,0.43,1.15
2023-05-19 15:00:00,0.64,0.43,1.07
2023-05-19 14:00:00,0.59,0.43,1.02
2023-05-19 13:00:00,0.59,0.43,1.02
2023-05-19 12:00:00,0.62,0.43,1.05
2023-05-19 11:00:00,0.61,0.43,1.04
2023-05-19 10:00:00,0.71,0.43,1.14
2023-05-19 09:00:00,0.92,0.43,1.35
2023-05-19 08:00:00,1.04,0.43,1.47
2023-05-19 07:00:00,1.07,0.43,1.50
2023-05-19 06:00:00,1.08,0.43,1.51
2023-05-19 05:00:00,0.97,0.34,1.31
2023-05-19 04:00:00,0.83,0.34,1.17
2023-05-19 03:00:00,0.77,0.34,1.11
2023-05-19 02:00:00,0.80,0.34,1.14
2023-05-19 01:00:00,0.82,0.34,1.16
2023-05-19 00:00:00,0.92,0.34,1.26
2023-05-18 23:00:00,0.97,0.43,1.40
2023-05-18 22:00:00,1.07,0.43,1.50
2023-05-18 21:00:00,1.14,0.43,1.57
2023-05-18 20:00:00,1.22,0.89,2.11
2023-05-18 19:00:00,1.13,0.89,2.02
2023-05-18 18:00:00,1.01,0.89,1.90
2023-05-18 17:00:00,0.84,0.89,1.73
2023-05-18 16:00:00,0.72,0.43,1.15
2023-05-18 15:00:00,0.45,0.43,0.88
2023-05-18 14:00:00,0.32,0.43,0.75
2023-05-18 13:00:00,0.46,0.43,0.89
2023-05-18 12:00:00,0.64,0.43,1.07
2023-05-18 11:00:00,0.66,0.43,1.09
2023-05-18 10:00:00,0.72,0.43,1.15
2023-05-18 09:00:00,0.80,0.43,1.23
2023-05-18 08:00:00,0.89,0.43,1.32
2023-05-18 07:00:00,0.93,0.43,1.36
2023-05-18 06:00:00,0.98,0.43,1.41
2023-05-18 05:00:00,0.97,0.34,1.31
2023-05-18 04:00:00,0.93,0.34,1.27
2023-05-18 03:00:00,0.88,0.34,1.22
2023-05-18 02:00:00,0.88,0.34,1.22
2023-05-18 01:00:00,0.90,0.34,1.24
2023-05-18 00:00:00,0.99,0.34,1.33
2023-05-17 23:00:00,0.99,0.43,1.42
2023-05-17 22:00:00,1.06,0.43,1.49
2023-05-17 21:00:00,1.23,0.43,1.66
2023-05-17 20:00:00,1.12,0.89,2.01
2023-05-17 19:00:00,0.71,0.89,1.60
2023-05-17 18:00:00,0.66,0.89,1.55
2023-05-17 17:00:00,0.60,0.89,1.49
2023-05-17 16:00:00,0.08,0.43,0.51
2023-05-17 15:00:00,0.05,0.43,0.48
2023-05-17 14:00:00,0.05,0.43,0.48
2023-05-17 13:00:00,0.05,0.43,0.48
2023-05-17 12:00:00,0.05,0.43,0.48
2023-05-17 11:00:00,0.07,0.43,0.50
2023-05-17 10:00:00,0.08,0.43,0.51
2023-05-17 09:00:00,0.08,0.43,0.51
2023-05-17 08:00:00,0.08,0.43,0.51
2023-05-17 07:00:00,0.07,0.43,0.50
2023-05-17 06:00:00,0.05,0.43,0.48
2023-05-17 05:00:00,0.05,0.34,0.39
2023-05-17 04:00:00,0.05,0.34,0.39
2023-05-17 03:00:00,0.05,0.34,0.39
2023-05-17 02:00:00,0.05,0.34,0.39
2023-05-17 01:00:00,0.05,0.34,0.39
2023-05-17 00:00:00,0.05,0.34,0.39
2023-05-16 23:00:00,0.05,0.43,0.48
2023-05-16 22:00:00,0.21,0.43,0.64
2023-05-16 21:00:00,0.50,0.43,0.93
2023-05-16 20:00:00,0.58,0.89,1.47
2023-05-16 19:00:00,0.60,0.89,1.49
2023-05-16 18:00:00,0.61,0.89,1.50
2023-05-16 17:00:00,0.61,0.89,1.50
2023-05-16 16:00:00,0.43,0.43,0.86
2023-05-16 15:00:00,0.16,0.43,0.59
2023-05-16 14:00:00,0.24,0.43,0.67
2023-05-16 13:00:00,0.41,0.43,0.84
2023-05-16 12:00:00,0.53,0.43,0.96
2023-05-16 11:00:00,0.62,0.43,1.05
2023-05-16 10:00:00,0.71,0.43,1.14
2023-05-16 09:00:00,0.73,0.43,1.16
2023-05-16 08:00:00,0.77,0.43,1.20
2023-05-16 07:00:00,0.77,0.43,1.20
2023-05-16 06:00:00,0.87,0.43,1.30
2023-05-16 05:00:00,0.69,0.34,1.03
2023-05-16 04:00:00,0.65,0.34,0.99
2023-05-16 03:00:00,0.63,0.34,0.97
2023-05-16 02:00:00,0.69,0.34,1.03
2023-05-16 01:00:00,0.71,0.34,1.05
2023-05-16 00:00:00,0.75,0.34,1.09
2023-05-15 23:00:00,0.97,0.43,1.40
2023-05-15 22:00:00,1.07,0.43,1.50
2023-05-15 21:00:00,1.14,0.43,1.57
2023-05-15 20:00:00,1.22,0.89,2.11
2023-05-15 19:00:00,1.13,0.89,2.02
2023-05-15 18:00:00,1.01,0.89,1.90
2023-05-15 17:00:00,0.84,0.89,1.73
2023-05-15 16:00:00,0.72,0.43,1.15
2023-05-15 15:00:00,0.45,0.43,0.88
2023-05-15 14:00:00,0.32,0.43,0.75
2023-05-15 13:00:00,0.46,0.43,0.89
2023-05-15 12:00:00,0.64,0.43,1.07
2023-05-15 11:00:00,0.66,0.43,1.09
2023-05-15 10:00:00,0.72,0.43,1.15
2023-05-15 09:00:00,0.80,0.43,1.23
2023-05-15 08:00:00,0.89,0.43,1.32
2023-05-15 07:00:00,0.93,0.43,1.36
2023-05-15 06:00:00,0.98,0.43,1.41
2023-05-15 05:00:00,0.97,0.34,1.31
2023-05-15 04:00:00,0.93,0.34,1.27
2023-05-15 03:00:00,0.88,0.34,1.22
2023-05-15 02:00:00,0.88,0.34,1.22
2023-05-15 01:00:00,0.90,0.34,1.24
2023-05-15 00:00:00,0.99,0.34,1.33
2023-05-14 23:00:00,0.99,0.43,1.42
2023-05-14 22:00:00,1.06,0.43,1.49
2023-05-14 21:00:00,1.23,0.43,1.66
2023-05-14 20:00:00,1.12,0.89,2.01
2023-05-14 19:00:00,0.71,0.89,1.60
2023-05-14 18:00:00,0.66,0.89,1.55
2023-05-14 17:00:00,0.60,0.89,1.49
2023-05-14 16:00:00,0.08,0.43,0.51
2023-05-14 15:00:00,0.05,0.43,0.48
2023-05-14 14:00:00,0.05,0.43,0.48
2023-05-14 13:00:00,0.05,0.43,0.48
2023-05-14 12:00:00,0.05,0.43,0.48
2023-05-14 11:00:00,0.07,0.43,0.50
2023-05-14 10:00:00,0.08,0.43,0.51
2023-05-14 09:00:00,0.08,0.43,0.51
2023-05-14 08:00:00,0.08,0.43,0.51
2023-05-14 07:00:00,0.07,0.43,0.50
2023-05-14 06:00:00,0.05,0.43,0.48
2023-05-14 05:00:00,0.05,0.34,0.39
2023-05-14 04:00:00,0.05,0.34,0.39
2023-05-14 03:00:00,0.05,0.34,0.39
2023-05-14 02:00:00,0.05,0.34,0.39
2023-05-14 01:00:00,0.05,0.34,0.39
2023-05-14 00:00:00,0.05,0.34,0.39
2023-05-13 23:00:00,0.05,0.43,0.48
2023-05-13 22:00:00,0.21,0.43,0.64
2023-05-13 21:00:00,0.50,0.43,0.93
2023-05-13 20:00:00,0.58,0.89,1.47
2023-05-13 19:00:00,0.60,0.89,1.49
2023-05-13 18:00:00,0.61,0.89,1.50
2023-05-13 17:00:00,0.61,0.89,1.50
2023-05-13 16:00:00,0.43,0.43,0.86
2023-05-13 15:00:00,0.16,0.43,0.59
2023-05-13 14:00:00,0.24,0.43,0.67
2023-05-13 13:00:00,0.41,0.43,0.84
2023-05-13 12:00:00,0.53,0.43,0.96
2023-05-13 11:00:00,0.62,0.43,1.05
2023-05-13 10:00:00,0.71,0.43,1.14
2023-05-13 09:00:00,0.73,0.43,1.16
2023-05-13 08:00:00,0.77,0.43,1.20
2023-05-13 07:00:00,0.77,0.43,1.20
2023-05-13 06:00:00,0.87,0.43,1.30
2023-05-13 05:00:00,0.69,0.34,1.03
2023-05-13 04:00:00,0.65,0.34,0.99
